timestamp,event_id,source_ip,dest_ip,process_name,event_type,action,device_id,username,mitre_technique,alert_level
2026-07-07T10:29:42.881813,EV-50C6D331,10.240.182.73,192.168.43.139,cmd.exe,File Read,Allowed,DEV-FEE782,EMP-2098,None,Informational
2026-07-06T08:20:42.881813,EV-AF2BCDAB,10.240.2.173,192.168.13.20,sqlservr.exe,File Write,Allowed,DEV-ACAEDB,EMP-8387,None,Informational
2026-07-07T15:42:42.881813,EV-BF83F1F6,10.240.185.24,192.168.234.170,lsass.exe,Privilege Escalation,Allowed,DEV-9A62E1,EMP-8069,None,Informational
2026-07-08T05:56:42.881813,EV-C047D70E,10.240.181.59,192.168.208.176,wsmprovhost.exe,File Write,Allowed,DEV-5AC701,EMP-7078,None,Informational
2026-07-11T08:31:42.881813,EV-86914253,10.240.68.139,192.168.181.216,sqlservr.exe,Network Connection,Allowed,DEV-7821A9,EMP-3451,None,Informational
2026-07-08T07:02:42.881813,EV-87EB57F0,10.240.31.225,192.168.20.135,sqlservr.exe,Network Connection,Allowed,DEV-E61751,EMP-6218,None,Informational
2026-07-05T14:51:42.881813,EV-91D68F01,10.240.217.119,192.168.146.187,chrome.exe,Process Creation,Allowed,DEV-F772B9,EMP-2466,None,Informational
2026-07-06T02:05:42.881813,EV-D3545ED4,10.240.196.151,192.168.100.86,chrome.exe,Process Creation,Allowed,DEV-1F954D,EMP-7147,None,Informational
2026-07-10T04:12:42.881813,EV-37F8D866,10.240.169.106,192.168.102.185,cmd.exe,Process Creation,Allowed,DEV-41E12F,EMP-6610,None,Informational
2026-07-07T06:10:42.881813,EV-2534BE1D,10.240.116.7,192.168.151.78,powershell.exe,Network Connection,Allowed,DEV-A7B544,EMP-6737,None,Informational
2026-07-09T10:42:42.881813,EV-0DBECEDD,10.240.223.82,192.168.28.86,lsass.exe,File Write,Allowed,DEV-032D14,EMP-5141,None,Informational
