timestamp,tx_id,source_acc,dest_acc,amount,channel,location,device_id,is_fraud,risk_score
2026-07-05T08:51:42.866243,TX-EAFF7DE7,ACC-896192,ACC-680048,108642.85,Internet Banking,New York,DEV-5D2B3E,0,77.74
2026-07-11T15:19:42.866243,TX-73069738,ACC-198113,ACC-506013,148250.0,ATM,Singapore,DEV-4951F1,0,31.73
2026-07-05T18:45:42.866243,TX-5DB14AB3,ACC-792092,ACC-322132,636560.89,Mobile Banking,Bengaluru,DEV-311198,0,25.26
2026-07-11T09:22:42.866243,TX-B8A6B6C2,ACC-972289,ACC-221793,753406.02,UPI,Bengaluru,DEV-4990B3,0,14.98
2026-07-10T09:17:42.866243,TX-6263FE41,ACC-278760,ACC-722055,193246.39,Mobile Banking,Kolkata,DEV-6AF066,0,6.7
2026-07-06T07:28:42.866243,TX-3971BA35,ACC-908807,ACC-336241,392096.59,RTGS,Hyderabad,DEV-842300,0,15.47
2026-07-08T01:48:42.866243,TX-5268523E,ACC-874001,ACC-151683,864099.94,NEFT,Hyderabad,DEV-71C571,0,25.66
2026-07-06T11:41:42.866243,TX-0BB235F4,ACC-167475,ACC-907374,253728.11,UPI,Hyderabad,DEV-681A9F,0,13.32
2026-07-09T09:25:42.866243,TX-09DD3172,ACC-511775,ACC-960088,907778.08,UPI,Pune,DEV-B5374A,0,75.54
2026-07-08T14:36:42.866243,TX-76641F31,ACC-143619,ACC-967988,621216.38,UPI,Singapore,DEV-5CF0E4,0,78.54
2026-07-05T09:33:42.866243,TX-A43D2E59,ACC-552485,ACC-833693,925267.78,Mobile Banking,Kolkata,DEV-922111,0,34.03
2026-07-06T13:14:42.866243,TX-D9B0DB0D,ACC-463972,ACC-629406,814034.54,NEFT,Pune,DEV-547743,0,21.04
2026-07-07T02:41:42.866243,TX-B7E0962B,ACC-818714,ACC-936562,713186.73,Mobile Banking,Hyderabad,DEV-6C0F67,0,31.32
