timestamp,session_id,username,ip_address,geolocation,device_fingerprint,action,success
2026-07-10T11:19:42.890812,VPN-2DA74615,EMP-3724,103.45.46.85,"London, UK",FP-354C059B56,Login,1
2026-07-11T09:35:42.890812,VPN-E9730E52,EMP-8845,103.45.44.89,"Frankfurt, DE",FP-F8F8C9A54B,Login,1
2026-07-08T16:58:42.890812,VPN-7E8DBF63,EMP-5365,103.45.167.143,"London, UK",FP-D4D040D86D,Login,1
2026-07-05T08:28:42.890812,VPN-80495B8C,EMP-2765,103.45.161.61,"Delhi, IN",FP-2A6474395F,Login,1
2026-07-07T11:47:42.890812,VPN-3BFF8692,EMP-8155,103.45.30.139,"Mumbai, IN",FP-07DF9149D8,Login,1
2026-07-10T21:15:42.890812,VPN-5B1F82DA,EMP-7560,103.45.198.35,"Bangalore, IN",FP-6373D1BBCA,Login,1
2026-07-09T22:32:42.890812,VPN-E25B4911,EMP-3032,103.45.97.245,"Frankfurt, DE",FP-D88916F2EC,Login,1
2026-07-07T15:56:42.890812,VPN-84C2D9C7,EMP-6876,103.45.58.67,"Beijing, CN",FP-274602F1E9,Login,1
2026-07-11T13:23:42.890812,VPN-9DB3536C,EMP-2142,103.45.182.73,"London, UK",FP-B687874133,Login,1
2026-07-06T22:57:42.890812,VPN-F3715020,EMP-5121,103.45.169.142,"Frankfurt, DE",FP-0CE6F536F8,Login,1
2026-07-05T08:18:42.890812,VPN-4759F0D6,EMP-8546,103.45.88.165,"Mumbai, IN",FP-4EDB9ED1CC,Login,1
2026-07-09T08:26:42.890812,VPN-71FC788F,EMP-3340,103.45.210.174,"Bangalore, IN",FP-762416EDFF,Login,1
2026-07-07T04:36:42.890812,VPN-92482BC5,EMP-3794,103.45.54.46,"Moscow, RU",FP-F6053CC37D,Login,1
2026-07-09T23:40:42.890812,VPN-974E2248,EMP-3252,103.45.63.174,"Delhi, IN",FP-5D5EEDAD31,Login,1
2026-07-10T04:05:42.890812,VPN-FD61FB46,EMP-3593,103.45.99.39,"London, UK",FP-2C605BCEE3,Login,1
2026-07-08T05:21:42.890812,VPN-4B5FE6E4,EMP-4290,103.45.161.103,"Bangalore, IN",FP-8FD7498FA7,Login,1
2026-07-07T18:20:42.890812,VPN-38A0F19F,EMP-1940,103.45.156.128,"London, UK",FP-99198B6CDC,Login,1
2026-07-07T21:37:42.890812,VPN-A3E42B69,EMP-5784,103.45.196.135,"Moscow, RU",FP-094FB52718,Login,1
2026-07-11T10:52:42.890812,VPN-BAACBC8D,EMP-8018,103.45.211.104,"Moscow, RU",FP-CC822AD7D2,Login,1
2026-07-07T03:07:42.890812,VPN-B8F11B53,EMP-9825,103.45.160.145,"Mumbai, IN",FP-11EFE1B98B,Login,1
2026-07-11T22:00:42.890812,VPN-C3A09977,EMP-1689,103.45.53.79,"Beijing, CN",FP-83E11BD31D,Login,1
2026-07-09T18:25:42.890812,VPN-66AEF026,EMP-8973,103.45.46.104,"Beijing, CN",FP-C97AA39E45,Login,1
2026-07-08T12:49:42.890812,VPN-411D0433,EMP-2347,103.45.85.218,"Frankfurt, DE",FP-C94AB3CED8,Login,1
2026-07-08T18:30:42.890812,VPN-E2853EA3,EMP-2321,103.45.175.29,"Bangalore, IN",FP-6F329266D9,Login,1
2026-07-09T22:15:42.890812,VPN-526AE24F,EMP-9051,103.45.215.114,"Mumbai, IN",FP-72C74D5BF6,Login,1
2026-07-07T11:02:42.890812,VPN-17CDB39F,EMP-2537,103.45.69.138,"Delhi, IN",FP-0AB9B1E1C7,Login,1
2026-07-10T09:32:42.890812,VPN-2A8329D7,EMP-8993,103.45.219.172,"London, UK",FP-87DEBB8DE1,Login,1
2026-07-05T10:13:42.890812,VPN-F811E683,EMP-5808,103.45.183.164,"Mumbai, IN",FP-E952B777BB,Login,1
2026-07-11T18:02:42.890812,VPN-11AFD7EB,EMP-7195,103.45.38.205,"Beijing, CN",FP-943DC54C75,Login,1
2026-07-08T01:13:42.890812,VPN-78761D6A,EMP-1010,103.45.215.165,"Frankfurt, DE",FP-E920E43782,Login,1
2026-07-07T10:10:42.890812,VPN-4606DA82,EMP-8005,103.45.131.48,"Moscow, RU",FP-6AF4031364,Login,1
2026-07-07T18:10:42.890812,VPN-CFDA5A6D,EMP-6698,103.45.218.213,"Frankfurt, DE",FP-3ABA3A96FA,Login,1
2026-07-11T05:35:42.890812,VPN-FE4B89F8,EMP-9129,103.45.106.15,"Bangalore, IN",FP-DF707BF0DD,Login,1
2026-07-07T07:18:42.890812,VPN-CC6F6700,EMP-9009,103.45.212.32,"Moscow, RU",FP-1550978909,Login,1
2026-07-10T10:17:42.890812,VPN-34E95167,EMP-6791,103.45.196.29,"Bangalore, IN",FP-90A517F64E,Login,1
2026-07-05T16:54:42.890812,VPN-BDD79C64,EMP-1064,103.45.191.177,"London, UK",FP-F322F37029,Login,1
2026-07-11T17:42:42.890812,VPN-063ABBCC,EMP-4286,103.45.192.51,"Delhi, IN",FP-02FE044246,Login,1
2026-07-07T21:18:42.890812,VPN-AD9D4DCE,EMP-9701,103.45.52.39,"Beijing, CN",FP-8A0C64B726,Failed Login Blocked,0
2026-07-08T22:17:42.890812,VPN-A508C71E,EMP-3801,103.45.55.99,"Mumbai, IN",FP-39335B825E,Login,1
2026-07-05T11:15:42.890812,VPN-FBA8FBDD,EMP-2327,103.45.21.212,"Delhi, IN",FP-A96502272D,Login,1
2026-07-07T16:06:42.890812,VPN-0AE87223,EMP-4836,103.45.28.98,"Moscow, RU",FP-1547E07405,Login,1
2026-07-07T05:05:42.890812,VPN-0796E661,EMP-8354,103.45.127.195,"London, UK",FP-F61E728674,Login,1
2026-07-09T06:11:42.890812,VPN-BDA3BE3A,EMP-3227,103.45.249.33,"Delhi, IN",FP-FC1E4F7A49,Login,1
2026-07-08T09:12:42.890812,VPN-F0DA10C4,EMP-1139,103.45.51.189,"Frankfurt, DE",FP-F3E05FC2C5,Login,1
2026-07-09T04:10:42.890812,VPN-535A7019,EMP-2725,103.45.135.66,"Frankfurt, DE",FP-717F73DFE6,Login,1
2026-07-07T16:30:42.890812,VPN-6AC7394B,EMP-5596,103.45.112.180,"Mumbai, IN",FP-B8940F6916,Login,1
2026-07-06T14:53:42.890812,VPN-AA6E740C,EMP-3919,103.45.195.149,"Frankfurt, DE",FP-BB0E9C6F89,Login,1
2026-07-08T23:21:42.890812,VPN-442B27A8,EMP-1940,103.45.65.52,"Frankfurt, DE",FP-BF57E7843A,Login,1
2026-07-10T11:05:42.890812,VPN-DC3F71A6,EMP-8435,103.45.27.75,"London, UK",FP-9A733F18CC,Login,1
2026-07-07T00:52:42.890812,VPN-FCDC5756,EMP-7603,103.45.156.240,"Beijing, CN",FP-45E8E1471C,Login,1
2026-07-11T08:24:42.890812,VPN-501B4E0C,EMP-1910,103.45.221.243,"Beijing, CN",FP-4B624CDB04,Login,1
2026-07-08T07:47:42.890812,VPN-FD79C619,EMP-2077,103.45.63.207,"Bangalore, IN",FP-36D88DB028,Login,1
2026-07-07T05:34:42.890812,VPN-FA7DC164,EMP-8788,103.45.234.208,"London, UK",FP-CDD571764F,Login,1
2026-07-08T07:24:42.890812,VPN-F7C2661A,EMP-2094,103.45.59.90,"Bangalore, IN",FP-94E37BC6B3,Login,1
2026-07-08T18:18:42.890812,VPN-55584C33,EMP-5406,103.45.108.143,"London, UK",FP-5247BE4EBD,Login,1
2026-07-11T01:16:42.890812,VPN-816DFEF8,EMP-2360,103.45.40.67,"Beijing, CN",FP-55D588C242,Login,1
2026-07-06T23:20:42.890812,VPN-E7BA19B8,EMP-5835,103.45.48.102,"Moscow, RU",FP-45C2124511,Login,1
2026-07-05T12:24:42.890812,VPN-022654E1,EMP-2364,103.45.95.124,"Moscow, RU",FP-5DB40105FE,Failed Login Blocked,0
2026-07-09T18:26:42.890812,VPN-B8B7254C,EMP-9646,103.45.219.21,"Bangalore, IN",FP-3347E0B754,Login,1
2026-07-08T11:22:42.890812,VPN-F164C1DB,EMP-8812,103.45.173.24,"Delhi, IN",FP-5E0502374B,Login,1
2026-07-10T01:27:42.890812,VPN-DFFA8E70,EMP-7924,103.45.160.221,"Delhi, IN",FP-B0B723962C,Login,1
2026-07-10T02:41:42.890812,VPN-5D501403,EMP-8382,103.45.15.246,"Bangalore, IN",FP-5678CDCB6F,Login,1
2026-07-09T05:58:42.890812,VPN-EB2FF4E3,EMP-6285,103.45.161.136,"Frankfurt, DE",FP-C75627F1B5,Login,1
2026-07-08T02:13:42.890812,VPN-C672D6F3,EMP-4655,103.45.66.227,"Beijing, CN",FP-AECF0C9432,Login,1
